date,location_name,ili,pred_hosp,true_hosp,population,total_hosp
2012-10-06,Alabama,0.01784877556640809,0.55,NA,5039877,28
2012-10-13,Alabama,-0.02578305219281317,0.51,NA,5039877,26
2012-10-20,Alabama,-0.08935791529322124,0.46,NA,5039877,23
2012-10-27,Alabama,0.06946404281929579,0.6,NA,5039877,30
2012-11-03,Alabama,0.31655369181372384,0.85,NA,5039877,43
2012-11-10,Alabama,0.5339813600771502,1.11,NA,5039877,56
2012-11-17,Alabama,0.5477540997001669,1.12,NA,5039877,56
2012-11-24,Alabama,0.7433356699631123,1.38,NA,5039877,70
2012-12-01,Alabama,0.7858386413220214,1.44,NA,5039877,73
2012-12-08,Alabama,1.1090582285890156,1.95,NA,5039877,98
2012-12-15,Alabama,1.8915999408091047,3.69,NA,5039877,186
2012-12-22,Alabama,2.37803734068821,5.24,NA,5039877,264
2012-12-29,Alabama,2.0264223846520193,4.07,NA,5039877,205
2013-01-05,Alabama,1.784348286232337,3.4,NA,5039877,171
2013-01-12,Alabama,2.1293193480712174,4.39,NA,5039877,221
2013-01-19,Alabama,2.4511387131502267,5.52,NA,5039877,278
2013-01-26,Alabama,2.6558281301892426,6.35,NA,5039877,320
2013-02-02,Alabama,2.3157921463956574,5.02,NA,5039877,253
2013-02-09,Alabama,1.968151289949646,3.9,NA,5039877,197
2013-02-16,Alabama,2.1692555068349373,4.52,NA,5039877,228
2013-02-23,Alabama,1.7651911495106132,3.35,NA,5039877,169
2013-03-02,Alabama,1.3543243798333298,2.41,NA,5039877,121
2013-03-09,Alabama,1.1164244178068614,1.97,NA,5039877,99
2013-03-16,Alabama,0.6720022271392866,1.28,NA,5039877,65
2013-03-23,Alabama,0.5248556467263418,1.09,NA,5039877,55
2013-03-30,Alabama,0.41410464883325887,0.96,NA,5039877,48
2013-04-06,Alabama,0.2668859664411732,0.8,NA,5039877,40
2013-04-13,Alabama,0.2423044010883576,0.77,NA,5039877,39
2013-04-20,Alabama,0.283362809583741,0.82,NA,5039877,41
2013-04-27,Alabama,0.4489315819854209,1,NA,5039877,50
2013-05-04,Alabama,0.35854338174131,0.9,NA,5039877,45
2013-05-11,Alabama,0.23006922973341748,0.76,NA,5039877,38
2013-05-18,Alabama,0.15731068461017067,0.69,NA,5039877,35
2013-05-25,Alabama,0.26277822606132306,0.79,NA,5039877,40
2013-06-01,Alabama,0.1976046065380955,0.73,NA,5039877,37
2013-06-08,Alabama,0.12926002842089562,0.66,NA,5039877,33
2013-06-15,Alabama,0.18548569252398964,0.71,NA,5039877,36
2013-06-22,Alabama,-0.1693690972845255,0.39,NA,5039877,20
2013-06-29,Alabama,0.10928721911285119,0.64,NA,5039877,32
2013-07-06,Alabama,-0.13326052982312733,0.42,NA,5039877,21
2013-07-13,Alabama,-0.11727066616475812,0.43,NA,5039877,22
2013-07-20,Alabama,-0.6522490746533125,0.05,NA,5039877,3
2013-07-27,Alabama,-0.7225820347178494,0,NA,5039877,0
2013-08-03,Alabama,-2.378037340688212,0,NA,5039877,0
2013-08-10,Alabama,-0.17742163427284027,0.38,NA,5039877,19
2013-08-17,Alabama,0.03371895229081795,0.57,NA,5039877,29
2013-08-24,Alabama,0.08139656311713578,0.61,NA,5039877,31
2013-08-31,Alabama,0.10131073156764603,0.63,NA,5039877,32
2013-09-07,Alabama,0.5294129922788962,1.1,NA,5039877,55
2013-09-14,Alabama,0.5523680695955487,1.13,NA,5039877,57
2013-09-21,Alabama,0.4977349281764083,1.06,NA,5039877,53
2013-09-28,Alabama,0.5385608993740234,1.11,NA,5039877,56
2013-10-05,Alabama,0.1693690972845255,0.7,NA,5039877,35
2013-10-12,Alabama,0.31238646498639455,0.85,NA,5039877,43
2013-10-19,Alabama,0.5112482806454101,1.08,NA,5039877,54
2013-10-26,Alabama,0.6134830877709735,1.21,NA,5039877,61
2013-11-02,Alabama,0.6087026970869307,1.2,NA,5039877,60
2013-11-09,Alabama,0.7225820347178494,1.35,NA,5039877,68
2013-11-16,Alabama,0.45332260786705103,1.01,NA,5039877,51
2013-11-23,Alabama,0.7329193918854743,1.37,NA,5039877,69
2013-11-30,Alabama,0.4709755041496518,1.03,NA,5039877,52
2013-12-07,Alabama,0.8076296767260951,1.47,NA,5039877,74
2013-12-14,Alabama,0.8754499825133949,1.57,NA,5039877,79
2013-12-21,Alabama,1.018281276460044,1.8,NA,5039877,91
2013-12-28,Alabama,1.101751731173674,1.94,NA,5039877,98
2014-01-04,Alabama,0.8242278127607663,1.5,NA,5039877,76
2014-01-11,Alabama,0.8930405773756952,1.6,NA,5039877,81
2014-01-18,Alabama,1.0945035820537063,1.93,NA,5039877,97
2014-01-25,Alabama,1.2266964330682966,2.17,NA,5039877,109
2014-02-01,Alabama,1.2970317775529903,2.3,NA,5039877,116
2014-02-08,Alabama,1.261084287454152,2.23,NA,5039877,112
2014-02-15,Alabama,1.3347382642674015,2.37,NA,5039877,119
2014-02-22,Alabama,1.1856526682235162,2.09,NA,5039877,105
2014-03-01,Alabama,1.2100340622379684,2.14,NA,5039877,108
2014-03-08,Alabama,1.2183229665690452,2.15,NA,5039877,108
2014-03-15,Alabama,1.1542011248807764,2.03,NA,5039877,102
2014-03-22,Alabama,0.8186700590722624,1.49,NA,5039877,75
2014-03-29,Alabama,0.7804490905140504,1.43,NA,5039877,72
2014-04-05,Alabama,0.6424675993396713,1.24,NA,5039877,62
2014-04-12,Alabama,0.5991833374528364,1.19,NA,5039877,60
2014-04-19,Alabama,0.7538332310942754,1.4,NA,5039877,71
2014-04-26,Alabama,0.7912511158786213,1.45,NA,5039877,73
2014-05-03,Alabama,0.8638719672341794,1.56,NA,5039877,79
2014-05-10,Alabama,0.7381175202683949,1.37,NA,5039877,69
2014-05-17,Alabama,0.9663666227749548,1.72,NA,5039877,87
2014-05-24,Alabama,0.6182775391798186,1.21,NA,5039877,61
2014-05-31,Alabama,0.7123213232296761,1.34,NA,5039877,68
2014-06-07,Alabama,0.8131374786761866,1.48,NA,5039877,75
2014-06-14,Alabama,0.5803051415910021,1.16,NA,5039877,58
2014-06-21,Alabama,-1.00504866386943,0,NA,5039877,0
2014-06-28,Alabama,0.5616315372502193,1.14,NA,5039877,57
2014-07-05,Alabama,0.5662813570659113,1.15,NA,5039877,58
2014-07-12,Alabama,0.5157734352660837,1.08,NA,5039877,54
2014-07-19,Alabama,0.3627760931833337,0.9,NA,5039877,45
2014-07-26,Alabama,0.4227627684046596,0.97,NA,5039877,49
2014-08-02,Alabama,0.4754115398130837,1.03,NA,5039877,52
2014-08-09,Alabama,0.24639077476088414,0.78,NA,5039877,39
2014-08-16,Alabama,0.4887764111146694,1.05,NA,5039877,53
2014-08-23,Alabama,0.676981453862689,1.29,NA,5039877,65
2014-08-30,Alabama,0.8812831996704769,1.58,NA,5039877,80
2014-09-06,Alabama,0.8871465590188758,1.59,NA,5039877,80
2014-09-13,Alabama,0.9727125168882546,1.73,NA,5039877,87
2014-09-20,Alabama,0.7966868699467773,1.46,NA,5039877,74
2014-09-27,Alabama,0.904922720910191,1.62,NA,5039877,82
2014-10-04,Alabama,-0.4754115398130837,0.16,NA,5039877,8
2014-10-11,Alabama,-0.061514625388812944,0.48,NA,5039877,24
2014-10-18,Alabama,-0.26277822606132306,0.32,NA,5039877,16
2014-10-25,Alabama,-0.38831247006148956,0.22,NA,5039877,11
2014-11-01,Alabama,-0.2545759545231117,0.32,NA,5039877,16
2014-11-08,Alabama,-0.001983093289227447,0.53,NA,5039877,27
2014-11-15,Alabama,0.3543170842034559,0.89,NA,5039877,45
2014-11-22,Alabama,0.9790978263219193,1.74,NA,5039877,88
2014-11-29,Alabama,0.991989737450634,1.76,NA,5039877,89
2014-12-06,Alabama,1.6463897389054496,3.06,NA,5039877,154
2014-12-13,Alabama,1.804183585876711,3.45,NA,5039877,174
2014-12-20,Alabama,1.8683818811982664,3.62,NA,5039877,182
2014-12-27,Alabama,2.2129842114474942,4.66,NA,5039877,235
2015-01-03,Alabama,1.4845682627936447,2.69,NA,5039877,136
2015-01-10,Alabama,1.4273431362536633,2.56,NA,5039877,129
2015-01-17,Alabama,1.1465146271851367,2.02,NA,5039877,102
2015-01-24,Alabama,0.8696464027531283,1.57,NA,5039877,79
2015-01-31,Alabama,0.80214626665751,1.47,NA,5039877,74
2015-02-07,Alabama,0.6279094025171256,1.22,NA,5039877,61
2015-02-14,Alabama,0.7072190212573672,1.33,NA,5039877,67
2015-02-21,Alabama,0.37551367112685013,0.92,NA,5039877,46
2015-02-28,Alabama,0.5022291659115565,1.07,NA,5039877,54
2015-03-07,Alabama,0.4184297877569059,0.97,NA,5039877,49
2015-03-14,Alabama,0.4798569506422464,1.04,NA,5039877,52
2015-03-21,Alabama,0.6473505948717883,1.25,NA,5039877,63
2015-03-28,Alabama,-0.009915622428005907,0.53,NA,5039877,27
2015-04-04,Alabama,-0.1052981378961988,0.44,NA,5039877,22
2015-04-11,Alabama,-0.8354204623215766,0,NA,5039877,0
2015-04-18,Alabama,-0.9229895362528437,0,NA,5039877,0
2015-04-25,Alabama,-1.661969014825052,0,NA,5039877,0
2015-05-02,Alabama,-1.50888132160979,0,NA,5039877,0
2015-05-09,Alabama,-1.6163777857629582,0,NA,5039877,0
2015-05-16,Alabama,-1.9681512899496465,0,NA,5039877,0
2015-05-23,Alabama,-1.3847162752655666,0,NA,5039877,0
2015-05-30,Alabama,-2.0264223846520193,0,NA,5039877,0
2015-06-06,Alabama,-2.31579214639566,0,NA,5039877,0
2015-06-13,Alabama,-2.09251574189212,0,NA,5039877,0
2015-06-20,Alabama,-1.9413553522707838,0,NA,5039877,0
2015-06-27,Alabama,-2.2614051974757037,0,NA,5039877,0
2015-07-04,Alabama,-3.1591540156606053,0,NA,5039877,0
2015-07-11,Alabama,-2.8237299975624546,0,NA,5039877,0
2015-07-18,Alabama,-2.6558281301892444,0,NA,5039877,0
2015-07-25,Alabama,-2.212984211447493,0,NA,5039877,0
2015-08-01,Alabama,-2.1692555068349364,0,NA,5039877,0
2015-08-08,Alabama,-2.4511387131502285,0,NA,5039877,0
2015-08-15,Alabama,-2.540293451279028,0,NA,5039877,0
2015-08-22,Alabama,-2.1293193480712165,0,NA,5039877,0
2015-08-29,Alabama,-2.0583456809931433,0,NA,5039877,0
2015-09-05,Alabama,-1.4057104366358641,0,NA,5039877,0
2015-09-12,Alabama,-1.521379792242567,0,NA,5039877,0
2015-09-19,Alabama,-1.6463897389054503,0,NA,5039877,0
2015-09-26,Alabama,-0.414104648833259,0.2,NA,5039877,10
2015-10-03,Alabama,-0.3670153140919702,0.24,NA,5039877,12
2015-10-10,Alabama,-0.24639077476088425,0.33,NA,5039877,17
2015-10-17,Alabama,-0.3712611409395514,0.23,NA,5039877,12
2015-10-24,Alabama,0.37977300300200534,0.92,NA,5039877,46
2015-10-31,Alabama,0.3249047463403659,0.86,NA,5039877,43
2015-11-07,Alabama,0.4665487172620511,1.02,NA,5039877,51
2015-11-14,Alabama,0.46213105427354534,1.02,NA,5039877,51
2015-11-21,Alabama,0.6039361762888168,1.19,NA,5039877,60
2015-11-28,Alabama,0.632747211327184,1.23,NA,5039877,62
2015-12-05,Alabama,1.1388952778068542,2.01,NA,5039877,101
2015-12-12,Alabama,1.2523481304521789,2.21,NA,5039877,111
2015-12-19,Alabama,1.3744442796712784,2.45,NA,5039877,123
2015-12-26,Alabama,1.4496652209904555,2.61,NA,5039877,132
2016-01-02,Alabama,1.3643152940509136,2.43,NA,5039877,122
2016-01-09,Alabama,0.9475581685492339,1.69,NA,5039877,85
2016-01-16,Alabama,0.7021350646018714,1.32,NA,5039877,67
2016-01-23,Alabama,0.8989657839802058,1.61,NA,5039877,81
2016-01-30,Alabama,0.7174422371957945,1.35,NA,5039877,68
2016-02-06,Alabama,0.5709434527486422,1.15,NA,5039877,58
2016-02-13,Alabama,0.38403923587982647,0.93,NA,5039877,47
2016-02-20,Alabama,-0.07741785240241203,0.47,NA,5039877,24
2016-02-27,Alabama,0.03768766757628836,0.57,NA,5039877,29
2016-03-05,Alabama,-0.05356909342807614,0.49,NA,5039877,25
2016-03-12,Alabama,-0.1976046065380955,0.37,NA,5039877,19
2016-03-19,Alabama,-0.5339813600771502,0.12,NA,5039877,6
2016-03-26,Alabama,-0.5944439955034496,0.08,NA,5039877,4
2016-04-02,Alabama,-1.1542011248807764,0,NA,5039877,0
