,abbreviation,location,location_name,population,count_rate1per100k,count_rate2per100k
0,US,US,US,331893745,3319,6638
1,AL,01,Alabama,5039877,50,101
2,AK,02,Alaska,732673,7,15
3,AZ,04,Arizona,7276316,73,146
4,AR,05,Arkansas,3025891,30,61
5,CA,06,California,39237836,392,785
6,CO,08,Colorado,5812069,58,116
7,CT,09,Connecticut,3605597,36,72
8,DE,10,Delaware,1003384,10,20
9,DC,11,District of Columbia,670050,7,13
10,FL,12,Florida,21781128,218,436
11,GA,13,Georgia,10799566,108,216
12,HI,15,Hawaii,1441553,14,29
13,ID,16,Idaho,1900923,19,38
14,IL,17,Illinois,12671469,127,253
15,IN,18,Indiana,6805985,68,136
16,IA,19,Iowa,3193079,32,64
17,KS,20,Kansas,2934582,29,59
18,KY,21,Kentucky,4509394,45,90
19,LA,22,Louisiana,4624047,46,92
20,ME,23,Maine,1372247,14,27
21,MD,24,Maryland,6165129,62,123
22,MA,25,Massachusetts,6984723,70,140
23,MI,26,Michigan,10050811,101,201
24,MN,27,Minnesota,5707390,57,114
25,MS,28,Mississippi,2949965,29,59
26,MO,29,Missouri,6168187,62,123
27,MT,30,Montana,1104271,11,22
28,NE,31,Nebraska,1963692,20,39
29,NV,32,Nevada,3143991,31,63
30,NH,33,New Hampshire,1388992,14,28
31,NJ,34,New Jersey,9267130,93,185
32,NM,35,New Mexico,2115877,21,42
33,NY,36,New York,19835913,198,397
34,NC,37,North Carolina,10551162,106,211
35,ND,38,North Dakota,774948,8,15
36,OH,39,Ohio,11780017,118,236
37,OK,40,Oklahoma,3986639,40,80
38,OR,41,Oregon,4246155,42,85
39,PA,42,Pennsylvania,12964056,130,259
40,RI,44,Rhode Island,1095610,11,22
41,SC,45,South Carolina,5190705,52,104
42,SD,46,South Dakota,895376,9,18
43,TN,47,Tennessee,6975218,70,140
44,TX,48,Texas,29527941,295,591
45,UT,49,Utah,3337975,33,67
46,VT,50,Vermont,645570,6,13
47,VA,51,Virginia,8642274,86,173
48,WA,53,Washington,7738692,77,155
49,WV,54,West Virginia,1782959,18,36
50,WI,55,Wisconsin,5895908,59,118
51,WY,56,Wyoming,578803,6,12
52,PR,72,Puerto Rico,3263584,33,65
53,VI,78,Virgin Islands,107268,1,2
